Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Can't Hold Us (feat. Ray Dalton)","Macklemore","The Heist","epic shit","Playlist","GMM881200002","22skzmqfdWrjJylampe0kt"
"What Makes You Beautiful","One Direction","Up All Night","epic shit","Playlist","GBHMU1100018","4cluDES4hQEUhmXj6TXkSo"
"Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","epic shit","Playlist","GBAYE0800265","1mea3bSkSGXuIRvnydlB5b"
"No Lie","Sean Paul","Mad Love The Prequel","epic shit","Playlist","GBUM71604557","48QmG1dfvMuYLxMPt7KSRA"
"High Hopes","Panic! At The Disco","Pray for the Wicked","epic shit","Playlist","USAT21801174","1rqqCSm0Qe4I9rUvWncaom"
"Call Me Maybe","Carly Rae Jepsen","Kiss","epic shit","Playlist","CAB391100615","20I6sIOMTCkB6w7ryavxtO"
"The Lazy Song","Bruno Mars","Doo-Wops & Hooligans","epic shit","Playlist","USAT21001886","386RUes7n1uM1yfzgeUuwp"
"Rude","MAGIC!","Don't Kill the Magic","epic shit","Playlist","CAV161300016","6RtPijgfPKROxEzTHNRiDp"
"Darkside","Alan Walker","Different World","epic shit","Playlist","NOG841806010","6SRWhUJcD2YKahCwHavz3X"
"Centuries","Fall Out Boy","American Beauty/American Psycho","epic shit","Playlist","USUM71412644","04aAxqtGp5pv12UXAg4pkq"
"Cheerleader (Felix Jaehn Remix) - Radio Edit","OMI","Me 4 U","epic shit","Playlist","USUS11202574","7vFoFDWqTX0mHzLfrF1Cfy"
"In the Name of Love","Martin Garrix","In the Name of Love","epic shit","Playlist","NLM5S1600003","23L5CiUhw2jV1OIMwthR3S"
"Symphony (feat. Zara Larsson)","Clean Bandit","What Is Love? (Deluxe Edition)","epic shit","Playlist","GBAHS1700199","72gv4zhNvRVdQA0eOenCal"
"Maps","Maroon 5","V","epic shit","Playlist","USUM71407116","4gbVRS8gloEluzf0GzDOFc"
"Human","Rag'n'Bone Man","Human (Deluxe)","epic shit","Playlist","GBARL1600665","58zsLZPvfflaiIbNWoA22O"
"Nevada","Vicetone","Nevada","epic shit","Playlist","CA6D21600175","02shCNmb6IvgB5jLqKjtkK"
"As It Was","Harry Styles","As It Was","epic shit","Playlist","USSM12200612","4LRPiXqCikLlN15c3yImP7"
"Billie Jean","Michael Jackson","Thriller 25 Super Deluxe Edition","epic shit","Playlist","USSM19902991","5ChkMS8OtdzJeqyybCc9R5"
"Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition","epic shit","Playlist","USSM19902989","3S2R0EVwBSAVMd5UMgKTL0"
"Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition","epic shit","Playlist","USSM19902990","1OOtq8tRnDM8kG2gqUPjAj"
"Smooth Criminal - 2012 Remaster","Michael Jackson","Bad (Remastered)","epic shit","Playlist","USSM11204989","5T7ywazdGIydr6JCW6t02j"
"The Way You Make Me Feel - 2012 Remaster","Michael Jackson","Bad (Remastered)","epic shit","Playlist","USSM11204981","76HKOVWqsEg26SECtmw7Rz"
"Thriller","Michael Jackson","Thriller","epic shit","Playlist","USSM19902989","2LlQb7Uoj1kKyGhlkBf9aC"
"Remember the Time","Michael Jackson","Dangerous","epic shit","Playlist","USSM10020715","4jnFqNWeJCeCRHc4HCdxfd"
"They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I","epic shit","Playlist","USSM19500629","3wuCCNCnBhJlwkIJTBZFiv"
"Black or White","Michael Jackson","Dangerous","epic shit","Playlist","USSM19000733","7EsjkelQuoUlJXEw7SeVV4"
"Don't Stop 'Til You Get Enough","Michael Jackson","Off the Wall","epic shit","Playlist","USSM17900816","46eu3SBuFCXWsPT39Yg3tJ"
"Bad - 2012 Remaster","Michael Jackson","Bad (Remastered)","epic shit","Playlist","USSM11204980","2gSNBigeWMVtY3QBIvPAEc"
"I Gotta Feeling","Black Eyed Peas","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","epic shit","Playlist","USUM70965169","4kLLWz7srcuLKA7Et40PQR"
"Me And My Broken Heart","Rixton","Let The Road","epic shit","Playlist","USUM71401800","1oew3nFNY3vMacJAsvry0S"
